Date,Close,High,Low,Open,Volume
2015-10-09,25.25790596,25.29394917,24.66542991,24.78032097,211064400
2015-10-12,25.14076233,25.39982967,25.10471912,25.39532491,121868800
2015-10-13,25.18356705,25.33224809,24.93351092,24.96504937,132197200
2015-10-14,24.82762909,25.12273964,24.68119957,25.0709272,177849600
2015-10-15,25.19932938,25.25339504,24.89070118,24.98982299,150694000
2015-10-16,25.01460648,25.23087088,24.89971542,25.18130996,156930400
2015-10-19,25.17004967,25.17455442,24.80510249,24.96054324,119036800
2015-10-20,25.62961197,25.71972258,24.96504944,25.08219203,195871200
2015-10-21,25.62735367,26.03735521,25.61383596,25.68141933,167180800
2015-10-22,26.0193367,26.0193367,25.70395046,25.75576461,166616400
2015-10-23,26.82582474,26.85961643,26.2063167,26.28966759,237467600
2015-10-26,25.96977615,26.6118114,25.88867678,26.60054865,265335200
2015-10-27,25.80532837,26.25362647,25.67917283,25.99681234,279537600
2015-10-28,26.86862183,26.87538154,26.14548731,26.34147771,342205600
2015-10-29,27.15247536,27.18852029,26.64335188,26.74022048,204909200
2015-10-30,26.92043304,27.30790733,26.90916858,27.25609319,197461200
2015-11-02,27.2988987,27.33944838,26.94521606,27.21329458,128813200
2015-11-03,27.61203194,27.81928509,27.19076592,27.21104162,182076000
2015-11-04,27.48362923,27.89363084,27.3980251,27.73819009,179544400
2015-11-05,27.3569355,27.7573812,27.18951841,27.56733873,158210800
2015-11-06,27.38860321,27.55828314,27.28905882,27.3999159,132169200
2015-11-09,27.27775192,27.55828899,27.1601079,27.36598537,135485600
2015-11-10,26.41803169,26.71214425,26.25740157,26.44744398,236511600
2015-11-11,26.26872063,26.56509441,26.06510433,26.3275435,180872000
2015-11-12,26.18047905,26.42934257,26.16464233,26.30264879,130102400
2015-11-13,25.41579819,26.14655407,25.39996146,26.06284466,183249600
2015-11-16,25.83207893,25.84565278,25.11263579,25.19860635,152426800
2015-11-17,25.7212162,26.02890262,25.63750681,25.99949033,110467600
